sample_id,ERBB2_copy_number,CEP17_copy_number,ERBB2_CEP17_ratio,ERBB2_minus_ploidy,Purity,Ploidy,Tumour Average Depth,Normal Average Depth
CPCT02020599T,3,6,0.5,-0.4546999999999999,0.59,3.4547,48.96,39.91
CPCT02230125T,5,5,1.0,0.8860000000000001,0.66,4.114,50.66,40.72
CPCT02110080T,4,2,2.0,1.0260000000000002,0.4,2.974,49.98,38.33
CPCT02080049T,45,2,22.5,41.5872,0.9,3.4128,51.69,31.94
CPCT02360017T,2,2,1.0,-0.0695000000000001,0.7,2.0695,49.49,40.58
CPCT02040069T,35,4,8.75,31.8481,0.33,3.1519,49.58,35.2
DO217987,3,3,1.0,-0.4443999999999999,0.71,3.4444,41.19,32.84
CPCT02100067T,4,5,0.8,0.3900000000000001,0.71,3.61,47.71,34.4
CPCT02020773T,1,2,0.5,-0.7476,0.72,1.7476,47.36,31.66
CPCT02330032T,2,1,2.0,0.0354000000000001,0.65,1.9646,48.72,31.54
WIDE01010308T,2,3,0.6666666666666666,-1.1286999999999998,0.33,3.1287,49.71,45.17
CPCT02120087T,2,10,0.2,-0.5613000000000001,0.47,2.5613,49.06,33.26
WIDE01010322T,2,1,2.0,0.0576000000000001,0.73,1.9424,49.67,34.81
CPCT02290011T,2,2,1.0,-0.1156999999999999,1.0,2.1157,46.92,35.35
CPCT02030220T,4,2,2.0,0.4438,0.77,3.5562,45.84,44.15
CPCT02080300T,2,3,0.6666666666666666,-0.2776000000000001,0.46,2.2776,50.46,35.28
CPCT02010422T,6,5,1.2,2.0843,0.34,3.9157,51.48,43.76
CPCT02100093T,1,1,1.0,-0.8581000000000001,0.7,1.8581,47.48,34.47
CPCT02290037T,2,2,1.0,-0.6065999999999998,0.71,2.6066,49.25,37.49
TCGA-A2-A0D1T,32,3,10.666666666666666,28.1329,0.78,3.8671,53.07,31.27
DO218121,4,4,1.0,0.2229000000000001,0.43,3.7771,46.17,40.31
CPCT02050209T,1,2,0.5,-0.7545,0.57,1.7545,47.41,46.07
CPCT02230058T,2,2,1.0,-0.0468999999999999,1.0,2.0469,48.03,30.47
CPCT02020966T,2,2,1.0,-0.1288999999999998,0.84,2.1289,42.2,36.12
WIDE01010468T,4,4,1.0,0.8138999999999998,0.43,3.1861,49.9,39.06
CPCT02100066T,1,1,1.0,-1.0571000000000002,0.63,2.0571,47.57,38.89
DO218182,2,2,1.0,-0.0203000000000002,0.65,2.0203,37.7,33.96
CPCT02310018T,1,1,1.0,-0.9588,0.83,1.9588,49.94,36.82
CPCT02390043T,3,2,1.5,1.0136,0.7,1.9864,49.83,36.96
TCGA-E2-A109T,5,6,0.8333333333333334,0.9768,0.68,4.0232,53.62,35.62
DO217788,3,2,1.5,1.0463,0.85,1.9537,45.06,33.44
CPCT02230025T,37,3,12.333333333333336,33.509100000000004,0.46,3.4909,43.72,27.55
CPCT02030521T,3,2,1.5,-0.0392000000000001,0.24,3.0392,48.53,35.29
CPCT02140039T,4,4,1.0,0.0232000000000001,0.48,3.9768,50.92,32.89
CPCT02300008T,2,2,1.0,-1.1846,0.81,3.1846,44.83,34.57
TCGA-AN-A0ATT,3,3,1.0,-0.5726,0.49,3.5726,51.85,29.79
CPCT02030549T,2,2,1.0,-0.8915000000000002,0.55,2.8915,49.73,39.76
TCGA-A1-A0SMT,28,2,14.0,25.9409,0.6,2.0591,56.78,33.02
DO218174,2,2,1.0,-0.0676999999999998,0.63,2.0677,43.8,34.82
TCGA-AR-A24ZT,4,6,0.6666666666666666,0.7795000000000001,0.83,3.2205,47.55,27.7
CPCT02080063T,6,4,1.5,2.3217,0.59,3.6783,50.96,39.58
DO220821,2,2,1.0,-0.0550999999999999,0.53,2.0551,45.49,30.17
CPCT02010765T,2,2,1.0,-1.0571000000000002,0.36,3.0571,47.97,35.01
CPCT02390001T,4,1,4.0,1.9758,0.73,2.0242,48.88,30.52
CPCT02080200T,2,3,0.6666666666666666,0.0984,0.77,1.9016,48.59,33.62
CPCT02240003T,9,8,1.125,4.5811,0.43,4.4189,48.79,28.82
DO218168,2,0,0.0,0.0330000000000001,0.9,1.967,45.29,29.65
CPCT02160018T,1,1,1.0,-0.5666,0.41,1.5666,50.65,32.16
TCGA-E2-A15HT,14,1,14.0,12.0567,0.69,1.9433,42.97,31.57
TCGA-A2-A0EYT,38,2,19.0,34.6433,0.5,3.3567,49.25,30.83
CPCT02160009T,3,3,1.0,0.8708,0.83,2.1292,52.01,47.83
CPCT02080228T,6,3,2.0,2.5806,0.53,3.4194,49.16,32.18
WIDE01010967T,2,2,1.0,-0.0230999999999999,0.94,2.0231,47.98,35.42
TCGA-A2-A25BT,2,7,0.2857142857142857,-1.7723,0.6,3.7723,53.47,30.19
TCGA-BH-A1FCT,4,5,0.8,0.0625,0.47,3.9375,39.67,29.89
TCGA-BH-A0H6T,2,2,1.0,-0.2006000000000001,0.76,2.2006,50.02,31.81
TCGA-BH-A0H0T,4,2,2.0,0.0118999999999998,0.76,3.9881,53.73,30.39
CPCT02060128T,3,3,1.0,-0.5413000000000001,0.65,3.5413,49.33,41.26
CPCT02080005TII,2,2,1.0,-0.1688999999999998,0.26,2.1689,49.02,30.12
TCGA-A2-A04PT,2,2,1.0,-1.5213,0.6,3.5213,27.2,32.12
CPCT02380035T,3,3,1.0,0.0301999999999997,0.6,2.9698,46.05,31.83
DO218651,1,1,1.0,-1.1989999999999998,0.47,2.199,46.76,38.66
CPCT02010326TII,4,4,1.0,-1.1707,0.64,5.1707,50.88,43.74
CPCT02030289T,21,5,4.2,17.6787,0.47,3.3213,51.5,34.14
DO1017,2,2,1.0,-1.3932000000000002,0.24,3.3932,40.03,30.92
CPCT02160037T,3,2,1.5,1.2079,0.53,1.7921,49.64,34.33
CPCT02010658T,1,1,1.0,-0.8604,0.44,1.8604,45.58,29.78
DO218388,2,1,2.0,-0.2406999999999999,0.89,2.2407,41.05,37.79
CPCT02230036T,4,9,0.4444444444444444,0.0647999999999999,0.32,3.9352,47.34,45.08
WIDE01010728T,2,4,0.5,-1.0259,0.49,3.0259,47.82,37.44
CPCT02200007T,2,4,0.5,-2.4765,0.22,4.4765,49.96,35.63
DO1006,2,3,0.6666666666666666,-1.1789999999999998,0.7,3.179,31.58,27.68
CPCT02300011T,4,2,2.0,0.4312,0.45,3.5688,47.46,25.98
CPCT02160051T,1,1,1.0,-0.9543,0.4,1.9543,48.66,34.04
CPCT02210010T,2,1,2.0,-0.0272999999999998,0.43,2.0273,50.58,39.31
CPCT02020160TIII,2,1,2.0,0.0041999999999999,0.84,1.9958,49.74,31.11
TCGA-E2-A1LKT,5,5,1.0,0.5408999999999997,0.73,4.4591,51.56,30.42
CPCT02100170T,4,4,1.0,0.7294999999999998,0.47,3.2705,50.03,30.9
CPCT02230089T,2,2,1.0,-1.261,0.31,3.261,50.16,29.32
CPCT02380052T,2,2,1.0,-1.3793000000000002,0.68,3.3793,49.19,30.55
TCGA-E2-A15KT,2,2,1.0,-0.0280999999999997,0.7,2.0281,44.86,26.69
CPCT02030261T,1,1,1.0,-0.8742000000000001,0.55,1.8742,50.52,33.04
CPCT02220047T,2,3,0.6666666666666666,-0.0430999999999999,0.66,2.0431,47.45,34.13
CPCT02080183T,1,1,1.0,-1.1343,0.73,2.1343,48.04,32.26
WIDE01010303T,4,3,1.3333333333333333,1.0819,0.67,2.9181,48.5,41.8
CPCT02030265T,1,1,1.0,-0.9306,0.36,1.9306,50.97,32.56
WIDE01010574T,3,3,1.0,-0.0661,0.49,3.0661,50.26,44.0
CPCT02010846T,1,2,0.5,-0.9856,0.8,1.9856,48.6,36.52
CPCT02360011T,4,3,1.3333333333333333,0.4925000000000002,0.39,3.5075,47.83,27.95
CPCT02230071T,1,2,0.5,-0.815,0.31,1.815,48.25,40.43
DO217865,2,1,2.0,-0.1084,0.55,2.1084,51.9,36.46
CPCT02160012T,47,4,11.75,43.0448,0.31,3.9552,51.69,44.06
CPCT02060075T,3,3,1.0,-1.5343999999999998,0.4,4.5344,50.47,39.3
TCGA-A8-A075T,2,3,0.6666666666666666,-1.4545,0.52,3.4545,59.0,33.09
CPCT02410017T,3,3,1.0,-0.8317000000000001,0.6,3.8317,50.34,32.09
DO218605,1,2,0.5,-0.9409999999999998,0.52,1.941,38.83,45.86
DO220824,2,2,1.0,-0.1913,0.75,2.1913,40.1,41.99
TCGA-E2-A152T,94,2,47.0,90.6696,0.53,3.3304,46.72,30.77
CPCT02110077T,4,5,0.8,-0.4451999999999998,0.74,4.4452,48.08,30.79
CPCT02050409T,2,2,1.0,-0.0278,0.79,2.0278,48.61,37.56
CPCT02020382T,4,4,1.0,0.3822999999999999,0.46,3.6177,48.38,36.26
WIDE01010489T,2,2,1.0,0.0215,0.7,1.9785,49.69,34.54
WIDE01010142T,52,5,10.4,48.5877,0.35,3.4123,45.14,43.37
CPCT02020801T,2,1,2.0,0.278,0.6,1.722,46.62,39.97
CPCT02040134T,2,2,1.0,-0.8500000000000001,0.62,2.85,47.15,38.24
CPCT02080002T,2,2,1.0,-0.0638,0.9,2.0638,51.26,29.1
CPCT02020186TII,6,2,3.0,2.1122,0.74,3.8878,51.01,45.31
CPCT02020711T,3,2,1.5,0.9209999999999998,0.7,2.079,49.27,27.69
CPCT02100067TII,4,4,1.0,0.4018000000000001,0.65,3.5982,48.11,34.4
CPCT02100035T,4,2,2.0,1.3113,0.27,2.6887,48.94,35.16
CPCT02110023T,45,4,11.25,40.9777,0.46,4.0223,49.95,36.27
CPCT02100125T,1,3,0.3333333333333333,-1.0531,0.78,2.0531,48.67,35.94
CPCT02080216T,2,2,1.0,-0.8445999999999998,0.34,2.8446,50.39,36.7
WIDE01010759T,4,2,2.0,0.1719999999999997,0.79,3.828,48.97,38.0
TCGA-AR-A1AYT,1,1,1.0,-0.7887,0.79,1.7887,47.08,27.84
DO218167,2,1,2.0,0.0761,0.52,1.9239,43.53,32.38
CPCT02230022T,14,2,7.0,10.8353,0.41,3.1647,46.84,33.24
CPCT02360016T,1,1,1.0,-1.2158000000000002,0.25,2.2158,48.2,35.2
WIDE01010268T,3,1,3.0,1.3018,0.72,1.6982,47.29,39.73
CPCT02120024T,2,2,1.0,0.1540000000000001,0.44,1.846,46.67,30.03
CPCT02120016T,4,4,1.0,0.4922,0.41,3.5078,46.76,29.1
DO52548,2,2,1.0,-1.2990000000000002,0.51,3.299,52.33,48.76
DO217952,2,2,1.0,-0.0240999999999997,0.8,2.0241,48.48,36.66
CPCT02040290T,2,2,1.0,-0.1604000000000001,0.63,2.1604,46.24,30.66
DO218384,2,2,1.0,0.0928,0.74,1.9072,51.21,35.13
CPCT02010276TII,2,2,1.0,-0.1678000000000001,0.74,2.1678,49.95,44.72
CPCT02140044T,2,2,1.0,-1.5365000000000002,0.4,3.5365,48.51,26.2
CPCT02180028T,2,2,1.0,0.0294,0.9,1.9706,48.16,31.02
CPCT02220053T,3,1,3.0,0.8054999999999999,0.72,2.1945,45.48,34.3
CPCT02110057T,3,1,3.0,1.0132,0.58,1.9868,47.99,30.65
CPCT02050120T,55,2,27.5,53.2173,0.44,1.7827,51.32,32.43
CPCT02040047T,24,2,12.0,20.6317,0.57,3.3683,50.59,36.78
CPCT02460005T,3,2,1.5,-0.5381999999999998,0.84,3.5382,49.64,38.91
CPCT02080253T,3,2,1.5,-0.2896000000000001,0.69,3.2896,49.29,36.77
TCGA-BH-A18UT,104,3,34.666666666666664,98.4559,0.7,5.5441,48.67,32.87
WIDE01011048T,2,7,0.2857142857142857,-2.7689000000000004,0.57,4.7689,48.56,39.67
CPCT02030383T,2,2,1.0,0.0663,0.63,1.9337,48.65,34.11
CPCT02270021T,4,6,0.6666666666666666,0.2852999999999999,0.35,3.7147,50.81,30.88
WIDE01010564T,4,2,2.0,0.4474999999999998,0.72,3.5525,50.66,39.75
WIDE01010785T,3,2,1.5,-0.9371,0.53,3.9371,49.31,38.29
CPCT02070168T,1,1,1.0,-0.9428,0.72,1.9428,48.15,44.35
CPCT02170029T,2,2,1.0,-1.4177,0.38,3.4177,46.98,39.78
CPCT02010772T,6,2,3.0,4.042,0.61,1.958,49.6,38.12
TCGA-GM-A3XLT,1,1,1.0,-1.2496,0.6,2.2496,56.39,33.76
CPCT02100011T,2,5,0.4,0.0152000000000001,0.34,1.9848,50.54,35.87
DO52542,1,1,1.0,-0.6417999999999999,0.63,1.6418,39.15,37.12
CPCT02210004T,2,2,1.0,0.159,0.28,1.841,51.84,43.93
CPCT02040036T,2,2,1.0,-0.2863000000000002,0.7,2.2863,50.14,34.95
CPCT02140004T,51,3,17.0,47.7149,0.5,3.2851,44.4,34.77
DO218176,2,3,0.6666666666666666,-1.8103,0.22,3.8103,46.96,30.72
CPCT02040145T,3,2,1.5,-0.5575999999999999,0.52,3.5576,47.58,37.96
CPCT02160042T,2,3,0.6666666666666666,-0.3763999999999999,0.4,2.3764,49.87,31.17
CPCT02030451T,1,3,0.3333333333333333,-0.9166,0.52,1.9166,49.64,29.5
CPCT02020239T,3,2,1.5,1.0419999999999998,0.68,1.958,50.76,35.83
WIDE01010738T,3,1,3.0,0.3887000000000001,0.86,2.6113,45.45,36.63
CPCT02020493TII,3,3,1.0,0.967,0.57,2.033,48.34,44.86
CPCT02010907T,3,3,1.0,0.8235000000000001,0.21,2.1765,43.56,31.63
CPCT02020287T,2,2,1.0,0.0296,0.76,1.9704,50.69,30.04
TCGA-E2-A15EM,9,2,4.5,5.4421,0.65,3.5579,51.12,31.22
CPCT02110050T,2,3,0.6666666666666666,0.1368,0.78,1.8632,48.59,36.61
CPCT02040097T,52,6,8.666666666666666,49.1753,0.53,2.8247,51.21,33.49
DO217907,3,2,1.5,0.0184000000000002,0.33,2.9816,40.73,36.07
CPCT02020545T,72,1,72.0,68.4749,0.75,3.5251,47.69,29.66
CPCT02340071T,3,3,1.0,-0.4321000000000001,0.22,3.4321,49.52,36.2
CPCT02020247T,2,2,1.0,-0.0091999999999998,0.62,2.0092,51.43,31.98
CPCT02100002T,1,1,1.0,-0.9731,0.69,1.9731,51.9,42.34
CPCT02010901T,4,4,1.0,0.0045000000000001,0.5,3.9955,48.27,40.53
CPCT02360008T,2,3,0.6666666666666666,0.1007,0.67,1.8993,48.92,29.87
DO1014,18,2,9.0,16.0098,0.54,1.9902,28.23,31.86
CPCT02120051T,2,4,0.5,-1.0064000000000002,0.39,3.0064,49.71,40.11
CPCT02120158T,3,3,1.0,0.1303999999999998,0.8,2.8696,49.42,37.01
CPCT02100028T,2,2,1.0,-0.1162999999999998,0.33,2.1163,51.32,36.21
CPCT02050309T,21,3,7.0,17.0505,0.38,3.9495,50.02,33.21
DO218502,1,1,1.0,-0.8813,0.57,1.8813,37.39,30.06
CPCT02030464T,23,4,5.75,19.553,0.76,3.447,50.45,41.6
WIDE01010326T,2,2,1.0,-0.1025,0.75,2.1025,49.18,39.88
CPCT02230120T,6,7,0.8571428571428571,1.8106,0.22,4.1894,50.83,43.1
CPCT02080250T,2,3,0.6666666666666666,-0.8923000000000001,0.48,2.8923,48.4,36.18
DO218059,5,3,1.6666666666666667,3.0202,0.63,1.9798,39.28,39.73
DO218478,3,2,1.5,0.9300000000000002,0.64,2.07,48.32,32.62
CPCT02100007T,4,4,1.0,0.5289999999999999,0.27,3.471,46.59,35.25
CPCT02220029T,3,3,1.0,-1.1786000000000003,0.35,4.1786,47.83,36.3
DO1011,4,4,1.0,0.0821999999999998,0.66,3.9178,36.81,38.06
CPCT02160022T,6,4,1.5,0.6723999999999997,0.48,5.3276,46.69,34.69
CPCT02080112T,2,2,1.0,-1.5849000000000002,0.35,3.5849,44.72,34.45
CPCT02150027T,1,5,0.2,-0.9513,0.69,1.9513,47.61,37.62
CPCT02020721T,6,3,2.0,2.3803,0.5,3.6197,48.24,36.48
CPCT02020685T,3,2,1.5,0.1198000000000001,0.8,2.8802,48.34,40.23
TCGA-BH-A0EAT,2,2,1.0,-0.0699,0.52,2.0699,48.22,28.04
CPCT02010708T,2,2,1.0,-1.0891000000000002,0.4,3.0891,48.48,39.15
CPCT02370024T,1,1,1.0,-0.8717999999999999,0.64,1.8718,50.31,31.26
CPCT02140083T,4,4,1.0,0.2008999999999998,0.29,3.7991,48.18,34.71
CPCT02010382TII,2,2,1.0,-1.5402999999999998,0.2,3.5403,51.64,34.44
CPCT02300001T,5,3,1.6666666666666667,1.2513,0.45,3.7487,49.98,32.61
CPCT02010276T,2,2,1.0,-0.1110999999999999,0.62,2.1111,48.78,44.72
CPCT02120117T,2,2,1.0,-0.3184999999999998,0.58,2.3185,50.27,32.14
WIDE01010584T,2,2,1.0,-1.4083,0.38,3.4083,50.75,40.39
CPCT02120154T,2,3,0.6666666666666666,0.0713999999999999,0.71,1.9286,49.61,36.0
DO1001,1,1,1.0,-0.8224,0.48,1.8224,32.72,30.79
WIDE01010702T,5,5,1.0,1.3845,0.26,3.6155,49.37,45.0
TCGA-AO-A0J4T,2,2,1.0,-0.8119000000000001,0.5,2.8119,31.44,31.83
DO52539,1,2,0.5,-0.7435,0.48,1.7435,42.77,34.07
TCGA-AO-A03NT,2,3,0.6666666666666666,-1.234,0.65,3.234,47.89,35.88
CPCT02010468T,2,2,1.0,-1.3060999999999998,0.47,3.3061,50.42,38.16
WIDE01010212T,8,1,8.0,6.1786,0.61,1.8214,43.04,37.42
DO217934,2,2,1.0,-0.1585999999999998,0.49,2.1586,39.45,32.73
DO52549,2,5,0.4,-1.3039,0.88,3.3039,41.53,38.29
CPCT02340047T,2,2,1.0,-0.2845,1.0,2.2845,48.3,36.91
CPCT02160019T,2,5,0.4,-0.9015,0.24,2.9015,49.57,30.95
CPCT02030216TII,2,2,1.0,-0.0567999999999999,1.0,2.0568,51.29,31.56
WIDE01010067T,2,2,1.0,-1.1889999999999996,0.31,3.189,47.57,33.14
CPCT02220044T,2,4,0.5,-1.8649,0.39,3.8649,49.24,27.87
DO218333,5,3,1.6666666666666667,1.3131,0.6,3.6869,40.21,42.22
CPCT02030522T,2,2,1.0,0.0722,0.62,1.9278,49.99,34.04
CPCT02050060T,17,2,8.5,15.305,0.45,1.695,50.65,39.39
TCGA-C8-A130T,6,4,1.5,2.269,0.56,3.731,43.95,34.84
CPCT02110028T,2,2,1.0,-1.0387,0.45,3.0387,48.91,36.02
CPCT02040071TII,5,5,1.0,0.6517999999999997,0.52,4.3482,48.74,43.67
WIDE01010909T,3,3,1.0,-0.4217,0.24,3.4217,43.47,31.71
WIDE01010335T,1,2,0.5,-0.7469999999999999,0.53,1.747,45.64,38.61
DO52540,3,2,1.5,0.0396999999999998,0.21,2.9603,49.81,40.1
CPCT02020693T,1,1,1.0,-0.6230000000000002,0.41,1.6230000000000002,50.14,34.02
DO218254,3,1,3.0,0.7698999999999998,0.68,2.2301,41.44,37.94
TCGA-BH-A0WAT,2,2,1.0,-1.1124999999999998,0.58,3.1125,29.52,27.76
CPCT02120165T,2,2,1.0,-0.7650999999999999,0.77,2.7651,40.81,30.44
CPCT02020541T,4,2,2.0,0.1956000000000002,0.49,3.8044,47.8,36.96
CPCT02380036T,1,1,1.0,-0.8046,0.48,1.8046,49.73,37.69
CPCT02180070T,2,2,1.0,-0.2574999999999998,0.74,2.2575,49.1,28.88
CPCT02410001T,6,2,3.0,1.3619000000000003,0.32,4.6381,46.67,32.84
CPCT02030258T,2,4,0.5,-1.3201999999999998,0.74,3.3202,48.56,35.04
DO218621,2,2,1.0,-0.0516,0.77,2.0516,38.36,38.38
CPCT02390038T,2,6,0.3333333333333333,-1.9974,0.29,3.9974,49.94,36.59
CPCT02330067T,4,4,1.0,0.0348000000000001,0.56,3.9652,49.32,34.84
CPCT02100024T,9,3,3.0,4.6572,0.6,4.3428,50.02,36.92
CPCT02020617T,1,1,1.0,-0.8704000000000001,0.41,1.8704,49.46,42.64
CPCT02290001T,39,2,19.5,35.6552,0.57,3.3448,51.49,40.64
CPCT02080001TII,4,4,1.0,-0.9306,0.5,4.9306,47.63,36.15
WIDE01010248T,1,2,0.5,-1.5057,0.27,2.5057,48.27,40.13
CPCT02020490T,2,2,1.0,0.4921,0.58,1.5079,51.04,33.23
DO1016,39,4,9.75,37.3243,0.54,1.6757,30.95,34.7
CPCT02010359T,7,4,1.75,2.2618,0.27,4.7382,51.69,36.87
CPCT02020791T,2,3,0.6666666666666666,-0.1734,0.74,2.1734,42.61,34.71
CPCT02030264T,1,1,1.0,-0.9989,0.35,1.9989,51.55,39.05
CPCT02320003T,2,2,1.0,-0.2178,0.44,2.2178,50.39,39.43
CPCT02020666T,2,2,1.0,-0.0743999999999998,0.95,2.0744,50.21,39.29
CPCT02100050T,2,1,2.0,0.0322,0.78,1.9678,51.62,30.21
TCGA-BH-A0DTT,2,2,1.0,-0.2488000000000001,0.47,2.2488,54.69,32.9
CPCT02260029T,2,4,0.5,-1.4130000000000005,0.89,3.4130000000000003,48.51,33.46
CPCT02050288T,3,4,0.75,0.1808,0.4,2.8192,49.86,39.64
CPCT02350008T,2,2,1.0,-1.1065,0.59,3.1065,49.63,32.16
CPCT02040321T,3,2,1.5,-0.1928999999999998,0.48,3.1929,49.99,34.05
CPCT02080254T,1,2,0.5,-1.0421999999999998,0.7,2.0422,48.4,36.87
CPCT02120052T,13,2,6.5,10.8408,0.76,2.1592,47.81,37.23
DO217787,2,4,0.5,-0.3250999999999999,0.53,2.3251,41.87,30.42
CPCT02460001T,4,3,1.3333333333333333,1.1277,0.83,2.8723,50.32,39.23
CPCT02010628T,2,3,0.6666666666666666,-2.1998,0.4,4.1998,48.43,31.97
DO52556,3,2,1.5,-0.2271999999999998,0.56,3.2272,37.28,28.6
WIDE01010740T,3,2,1.5,-0.1972,0.57,3.1972,47.36,26.53
WIDE01010072T,2,3,0.6666666666666666,-1.2713,0.71,3.2713,48.28,28.8
DO52555,1,1,1.0,-0.5646,0.66,1.5646,42.82,27.7
DO218419,2,1,2.0,-0.0253000000000001,0.54,2.0253,41.85,33.86
CPCT02010572T,3,3,1.0,-1.673,0.42,4.673,48.74,29.34
CPCT02010267TII,5,2,2.5,1.1522,0.32,3.8478,50.1,46.02
CPCT02110063T,1,1,1.0,-1.1894999999999998,0.43,2.1895,50.59,26.97
CPCT02020344T,3,5,0.6,0.3660000000000001,0.7,2.634,50.59,37.09
TCGA-A2-A0D4T,4,3,1.3333333333333333,0.2477999999999998,0.7,3.7522,48.49,29.68
DO218709,4,2,2.0,1.3167,0.31,2.6833,53.55,35.2
DO218408,2,2,1.0,-0.2096,0.66,2.2096,41.36,33.26
CPCT02040267T,4,4,1.0,-0.0693000000000001,0.38,4.0693,46.16,33.24
CPCT02080055T,1,2,0.5,-1.0179,0.35,2.0179,51.03,49.66
CPCT02160004T,4,3,1.3333333333333333,0.6863000000000001,0.62,3.3137,49.93,34.76
CPCT02010933T,3,3,1.0,-1.2742000000000004,0.32,4.2742,47.81,49.34
DO218173,2,1,2.0,-0.0592999999999999,1.0,2.0593,46.28,35.55
CPCT02100115T,2,2,1.0,0.0748999999999999,0.94,1.9251,49.21,42.21
CPCT02050218T,2,1,2.0,0.0373000000000001,0.82,1.9627,48.39,27.37
DO218269,4,1,4.0,1.0376,0.4,2.9624,44.92,34.2
CPCT02010419T,6,4,1.5,1.7058,0.26,4.2942,50.6,40.4
TCGA-A8-A08LT,4,4,1.0,0.2646000000000001,0.6,3.7354,50.9,28.53
WIDE01010311T,2,2,1.0,-0.8307000000000002,0.89,2.8307,48.0,40.36
CPCT02020299T,3,2,1.5,0.2159,0.38,2.7841,48.1,42.09
CPCT02050074T,2,2,1.0,-0.3698000000000001,0.71,2.3698,51.14,40.74
CPCT02180053T,4,4,1.0,0.5045999999999999,0.54,3.4954,50.31,37.23
DO218796,60,3,20.0,54.6745,0.21,5.3255,54.8,63.47
CPCT02030448T,1,1,1.0,-0.6536,0.66,1.6536,46.6,34.34
WIDE01010829T,2,2,1.0,-1.2503000000000002,0.55,3.2503,48.46,40.45
CPCT02070344T,4,7,0.5714285714285714,0.4788999999999999,0.32,3.5211,50.39,37.27
TCGA-A8-A094T,2,2,1.0,-1.3596,0.41,3.3596,57.1,31.67
TCGA-AQ-A04JT,1,1,1.0,-0.8342,0.49,1.8342,44.19,26.97
DO218742,2,2,1.0,-0.1968999999999998,0.52,2.1969,45.08,35.99
TCGA-AR-A0TXT,25,2,12.5,22.9738,0.42,2.0262,53.89,34.19
CPCT02050164T,1,1,1.0,-0.7879999999999999,0.67,1.788,47.92,42.0
