sample_id,ERBB2_copy_number,CEP17_copy_number,ERBB2_CEP17_ratio,ERBB2_minus_ploidy,Purity,Ploidy,Tumour Average Depth,Normal Average Depth
DO52561,4,3,1.3333333333333333,-0.3312999999999997,0.72,4.3313,39.65,36.79
CPCT02010517T,2,2,1.0,-0.0838999999999998,0.87,2.0839,48.11,37.1
CPCT02010731T,1,1,1.0,-0.9885,0.49,1.9885,49.0,33.73
CPCT02010329T,2,2,1.0,-0.7187999999999999,0.32,2.7188,45.97,26.71
CPCT02050160T,4,5,0.8,-0.8628999999999998,0.77,4.8629,48.6,42.72
CPCT02010351T,2,2,1.0,-0.9932,0.35,2.9932,51.19,36.46
CPCT02210076T,4,4,1.0,0.7927,0.73,3.2073,50.68,46.92
CPCT02470003T,2,2,1.0,-2.0147000000000004,0.23,4.0147,49.56,40.96
CPCT02010682T,2,3,0.6666666666666666,-0.3338999999999998,0.82,2.3339,47.87,43.52
CPCT02030242T,2,2,1.0,-1.4639000000000002,0.77,3.4639,51.62,39.85
CPCT02330104T,4,4,1.0,0.0617999999999998,0.26,3.9382,48.98,36.71
CPCT02040114T,3,4,0.75,0.0320999999999997,0.59,2.9679,48.11,37.17
CPCT02210037T,2,3,0.6666666666666666,0.0384999999999999,0.7,1.9615,49.36,34.33
DO52553,1,1,1.0,-0.5353000000000001,0.41,1.5353,51.14,56.85
CPCT02010433T,2,1,2.0,0.1084,0.37,1.8916,51.26,32.42
CPCT02010593T,2,2,1.0,0.2442,0.25,1.7558,45.49,33.43
DO52551,2,2,1.0,-0.7319,0.29,2.7319,44.24,39.39
TCGA-GM-A2DFT,3,2,1.5,-0.7837000000000001,0.21,3.7837,50.11,31.16
DO218377,2,2,1.0,-1.9422,0.29,3.9422,42.33,27.54
CPCT02230095T,4,5,0.8,0.2543000000000002,0.78,3.7457,49.33,32.7
CPCT02210053T,2,2,1.0,-0.3752,0.8,2.3752,49.63,43.79
CPCT02330035T,34,7,4.857142857142857,30.6908,0.64,3.3092,46.37,36.72
CPCT02230044T,3,3,1.0,0.8121999999999998,0.64,2.1878,49.46,36.4
CPCT02011058T,5,8,0.625,1.6488999999999998,0.69,3.3511,49.1,31.98
DO1012,3,4,0.75,-0.2595999999999998,0.7,3.2596,29.07,31.45
CPCT02150014T,2,2,1.0,-0.2078000000000002,0.65,2.2078,49.96,33.91
CPCT02150046T,16,2,8.0,13.9011,0.78,2.0989,50.97,37.33
WIDE01010140T,3,3,1.0,-0.4685000000000002,0.81,3.4685,46.69,31.11
TCGA-A8-A09XT,2,2,1.0,-1.4943,0.31,3.4943,43.09,27.84
CPCT02120073T,2,5,0.4,-1.412,0.33,3.412,49.29,34.17
WIDE01010478T,3,4,0.75,-0.5493999999999999,0.29,3.5494,51.14,44.85
CPCT02300032T,9,2,4.5,5.9914000000000005,0.7,3.0086,49.54,31.31
CPCT02060179T,4,4,1.0,0.0409000000000001,0.59,3.9591,49.21,36.38
CPCT02150018T,9,2,4.5,5.4171,0.59,3.5829,47.72,31.49
CPCT02220060T,2,3,0.6666666666666666,-1.6322,0.65,3.6322,48.37,39.0
CPCT02300043T,2,2,1.0,-0.9789,0.38,2.9789,48.21,36.22
TCGA-A2-A3XXT,5,5,1.0,0.1756000000000002,0.42,4.8244,47.66,28.38
CPCT02080056T,38,5,7.6,32.6482,0.68,5.3518,49.73,38.33
CPCT02020186T,6,3,2.0,2.1807,0.57,3.8193,48.51,45.31
TCGA-EW-A3U0T,4,4,1.0,-0.1432999999999999,0.26,4.1433,50.41,31.53
CPCT02380034T,2,2,1.0,0.4473,0.76,1.5527,46.79,27.54
CPCT02290010T,3,2,1.5,-0.1520999999999999,0.86,3.1521,45.22,32.73
DO217800,2,2,1.0,-0.0367000000000001,1.0,2.0367,48.32,38.27
DO218159,2,1,2.0,0.1725000000000001,0.53,1.8275,41.69,27.15
CPCT02060221T,2,1,2.0,-0.0874999999999999,0.78,2.0875,49.92,39.29
CPCT02040123T,13,1,13.0,10.9558,0.55,2.0442,45.93,34.04
DO218347,2,2,1.0,0.0069999999999998,0.61,1.993,42.16,29.44
CPCT02290046T,2,1,2.0,-0.0421999999999997,0.75,2.0422,49.01,42.52
CPCT02330042T,2,2,1.0,0.1715999999999999,0.44,1.8284,45.74,35.29
CPCT02080261T,4,4,1.0,0.8769999999999998,0.58,3.123,49.65,42.95
CPCT02090062T,2,2,1.0,-1.0731000000000002,0.37,3.0731,43.58,36.02
CPCT02010260T,29,4,7.25,26.3275,0.34,2.6725,49.39,29.09
CPCT02040266T,4,6,0.6666666666666666,0.7204999999999999,0.41,3.2795,47.32,33.87
CPCT02010746T,2,2,1.0,-0.0891000000000001,0.75,2.0891,48.42,35.07
DO1009,2,2,1.0,-1.6493000000000002,0.43,3.6493,28.63,37.92
CPCT02110079T,4,5,0.8,-0.0602,0.61,4.0602,50.51,49.32
CPCT02240011T,2,5,0.4,-1.5049,0.36,3.5049,50.68,28.42
CPCT02050338T,2,1,2.0,0.1456999999999999,0.67,1.8543,49.56,30.49
CPCT02390021T,2,2,1.0,-0.9262,0.81,2.9262,50.05,39.0
CPCT02010721T,4,6,0.6666666666666666,0.3050999999999999,0.73,3.6949,46.97,28.52
CPCT02050127T,2,3,0.6666666666666666,0.0045999999999999,0.32,1.9954,51.24,46.68
WIDE01010235T,2,2,1.0,-0.0295999999999998,0.61,2.0296,48.19,36.49
CPCT02030340T,3,4,0.75,1.0083,0.76,1.9917,48.51,30.67
TCGA-A8-A08BT,39,3,13.0,35.5833,0.63,3.4167,51.3,32.38
CPCT02210034T,2,3,0.6666666666666666,-0.9881000000000002,0.39,2.9881,49.53,39.96
CPCT02010678T,1,1,1.0,-0.9985,0.74,1.9985,44.81,42.45
CPCT02080153T,2,2,1.0,-0.0238,0.81,2.0238,47.1,36.73
CPCT02330071T,2,2,1.0,-0.6554000000000002,0.53,2.6554,49.62,41.87
WIDE01010448T,3,2,1.5,-0.4367000000000001,0.33,3.4367,49.43,42.4
